id,snippet,expected,predicted,correct,raw_output,error,latency_ms,provider,model
42,"That's a fair offer, I'll take it.",positive,positive,True,"{""sentiment"":""positive""}",,1178,openai,gpt-5-mini
43,I appreciate the thorough explanation.,positive,positive,True,"{""sentiment"":""positive""}",,1242,openai,gpt-5-mini
44,"Yes, I'd like to move forward today.",positive,positive,True,"{""sentiment"":""positive""}",,1332,openai,gpt-5-mini
45,"Glad we could chat, very useful.",positive,positive,True,"{""sentiment"":""positive""}",,1200,openai,gpt-5-mini
46,"Perfect, that timing works.",positive,positive,True,"{""sentiment"":""positive""}",,1101,openai,gpt-5-mini
47,I'd be very interested in learning more about pricing,neutral,positive,False,"{""sentiment"":""positive""}",,1136,openai,gpt-5-mini
48,Looking forward to working together.,positive,positive,True,"{""sentiment"":""positive""}",,1215,openai,gpt-5-mini
49,I'm in. Send the paperwork.,positive,positive,True,"{""sentiment"":""positive""}",,1169,openai,gpt-5-mini
50,"That's wonderful news, thanks for letting me know.",positive,positive,True,"{""sentiment"":""positive""}",,1111,openai,gpt-5-mini
51,"No thanks, I'm not interested.",negative,negative,True,"{""sentiment"":""negative""}",,1226,openai,gpt-5-mini
52,Please remove me from your list.,negative,negative,True,"{""sentiment"":""negative""}",,1270,openai,gpt-5-mini
53,"I told you last time, stop calling.",negative,negative,True,"{""sentiment"":""negative""}",,1223,openai,gpt-5-mini
54,"This is the third call this week, please stop.",negative,negative,True,"{""sentiment"":""negative""}",,1216,openai,gpt-5-mini
55,"I'm not the right person, please don't call again.",negative,negative,True,"{""sentiment"":""negative""}",,1369,openai,gpt-5-mini
56,"We already have a vendor, we're not switching.",negative,negative,True,"{""sentiment"":""negative""}",,1796,openai,gpt-5-mini
57,This is way out of our budget.,negative,negative,True,"{""sentiment"":""negative""}",,1234,openai,gpt-5-mini
58,"Honestly, I'm frustrated by these calls.",negative,negative,True,"{""sentiment"":""negative""}",,1432,openai,gpt-5-mini
59,"We already have a vendor, we're not switching.",positive,negative,False,"{""sentiment"":""negative""}",,1284,openai,gpt-5-mini
60,I don't have time for this right now.,negative,negative,True,"{""sentiment"":""negative""}",,1435,openai,gpt-5-mini
61,Take me off your list permanently.,negative,negative,True,"{""sentiment"":""negative""}",,1140,openai,gpt-5-mini
62,I'm not going to do business with you.,negative,negative,True,"{""sentiment"":""negative""}",,1196,openai,gpt-5-mini
63,"Your pricing is absurd, this isn't going to work.",negative,negative,True,"{""sentiment"":""negative""}",,1501,openai,gpt-5-mini
64,"I've heard this pitch a hundred times, no.",negative,negative,True,"{""sentiment"":""negative""}",,1085,openai,gpt-5-mini
65,Stop emailing me too while you're at it.,negative,negative,True,"{""sentiment"":""negative""}",,1125,openai,gpt-5-mini
66,This doesn't match what your website said.,negative,negative,True,"{""sentiment"":""negative""}",,1248,openai,gpt-5-mini
67,"I asked for a callback at 2pm, not now.",negative,negative,True,"{""sentiment"":""negative""}",,1183,openai,gpt-5-mini
68,"Frankly, this is wasting both our time.",negative,negative,True,"{""sentiment"":""negative""}",,1452,openai,gpt-5-mini
69,"Not interested, goodbye.",negative,negative,True,"{""sentiment"":""negative""}",,1279,openai,gpt-5-mini
70,Please don't transfer me to anyone else.,negative,negative,True,"{""sentiment"":""negative""}",,1187,openai,gpt-5-mini
71,"Yeah, fine, I guess we can talk about it.",neutral,positive,False,"{""sentiment"":""positive""}",,1246,openai,gpt-5-mini
72,I don't believe the numbers you're quoting.,negative,negative,True,"{""sentiment"":""negative""}",,1554,openai,gpt-5-mini
73,"I'm not saying no, but I'm not saying yes either.",neutral,neutral,True,"{""sentiment"":""neutral""}",,1750,openai,gpt-5-mini
74,Your competitor is offering half the price.,negative,negative,True,"{""sentiment"":""negative""}",,1225,openai,gpt-5-mini
75,"Look, I'll be honest, I'm on the fence about this.",neutral,neutral,True,"{""sentiment"":""neutral""}",,1244,openai,gpt-5-mini
76,Stop. Calling. Me.,negative,negative,True,"{""sentiment"":""negative""}",,1211,openai,gpt-5-mini
77,This isn't the right time or fit.,negative,negative,True,"{""sentiment"":""negative""}",,2739,openai,gpt-5-mini
78,I don't want to hear it.,negative,negative,True,"{""sentiment"":""negative""}",,1232,openai,gpt-5-mini
79,"Why do you keep calling me, please stop.",negative,negative,True,"{""sentiment"":""negative""}",,1198,openai,gpt-5-mini
80,"I'm really not interested, sorry.",negative,negative,True,"{""sentiment"":""negative""}",,1137,openai,gpt-5-mini
81,Can you send me more information by email?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1610,openai,gpt-5-mini
82,What's the price for the standard package?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1301,openai,gpt-5-mini
83,Who else have you worked with in our industry?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1825,openai,gpt-5-mini
84,I'll need to check with my manager first.,neutral,neutral,True,"{""sentiment"":""neutral""}",,2073,openai,gpt-5-mini
85,Can you call back in two weeks?,neutral,neutral,True,"{""sentiment"":""neutral""}",,2008,openai,gpt-5-mini
86,What's the typical implementation timeline?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1086,openai,gpt-5-mini
87,I need to think about it.,neutral,neutral,True,"{""sentiment"":""neutral""}",,1195,openai,gpt-5-mini
88,Can you clarify the contract terms?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1364,openai,gpt-5-mini
89,What happens if we want to cancel?,neutral,neutral,True,"{""sentiment"":""neutral""}",,2251,openai,gpt-5-mini
90,Is there a free trial available?,negative,neutral,False,"{""sentiment"":""neutral""}",,1191,openai,gpt-5-mini
91,How do you compare to your competitors?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1409,openai,gpt-5-mini
92,I'm gathering information from a few vendors.,neutral,neutral,True,"{""sentiment"":""neutral""}",,1264,openai,gpt-5-mini
93,Can you send me a case study?,neutral,neutral,True,"{""sentiment"":""neutral""}",,2958,openai,gpt-5-mini
94,What does the onboarding process look like?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1182,openai,gpt-5-mini
95,I'll discuss with my team and circle back.,neutral,neutral,True,"{""sentiment"":""neutral""}",,1229,openai,gpt-5-mini
96,Do you have references I can speak with?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1184,openai,gpt-5-mini
97,What are the payment terms?,neutral,neutral,True,"{""sentiment"":""neutral""}",,1105,openai,gpt-5-mini
98,Can we schedule a follow-up next month?,neutral,positive,False,"{""sentiment"":""positive""}",,1164,openai,gpt-5-mini
99,I'm just exploring options right now.,neutral,neutral,True,"{""sentiment"":""neutral""}",,1377,openai,gpt-5-mini
100,Please email me the details and I'll review.,neutral,neutral,True,"{""sentiment"":""neutral""}",,1156,openai,gpt-5-mini
