id,snippet,expected,predicted,correct,raw_output,error,latency_ms,provider,model
49,I'm in. Send the paperwork.,positive,positive,True,positive,,3919,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
50,"That's wonderful news, thanks for letting me know.",positive,positive,True,positive,,4016,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
51,"No thanks, I'm not interested.",negative,negative,True,negative,,3589,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
52,Please remove me from your list.,negative,negative,True,negative,,4047,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
53,"I told you last time, stop calling.",negative,negative,True,negative,,3545,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
54,"This is the third call this week, please stop.",negative,negative,True,negative,,4272,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
55,"I'm not the right person, please don't call again.",negative,negative,True,negative,,3816,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
56,"We already have a vendor, we're not switching.",negative,negative,True,negative,,4278,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
57,This is way out of our budget.,negative,negative,True,negative,,3988,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
58,"Honestly, I'm frustrated by these calls.",negative,negative,True,negative,,4679,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
59,"We already have a vendor, we're not switching.",positive,negative,False,negative,,3885,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
60,I don't have time for this right now.,negative,negative,True,negative,,3902,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
61,Take me off your list permanently.,negative,negative,True,negative,,3930,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
62,I'm not going to do business with you.,negative,negative,True,negative,,4320,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
63,"Your pricing is absurd, this isn't going to work.",negative,negative,True,negative,,3370,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
64,"I've heard this pitch a hundred times, no.",negative,negative,True,negative,,4146,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
65,Stop emailing me too while you're at it.,negative,negative,True,negative,,3680,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
66,This doesn't match what your website said.,negative,negative,True,negative,,3758,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
67,"I asked for a callback at 2pm, not now.",negative,negative,True,negative,,3801,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
68,"Frankly, this is wasting both our time.",negative,negative,True,negative,,4705,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
69,"Not interested, goodbye.",negative,negative,True,negative,,3789,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
70,Please don't transfer me to anyone else.,negative,negative,True,negative,,3617,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
71,"Yeah, fine, I guess we can talk about it.",neutral,neutral,True,neutral,,4157,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
72,I don't believe the numbers you're quoting.,negative,negative,True,negative,,4442,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
73,"I'm not saying no, but I'm not saying yes either.",neutral,neutral,True,neutral,,3945,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
74,Your competitor is offering half the price.,negative,negative,True,negative,,4605,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
75,"Look, I'll be honest, I'm on the fence about this.",neutral,neutral,True,neutral,,4870,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
76,Stop. Calling. Me.,negative,negative,True,negative,,3623,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
77,This isn't the right time or fit.,negative,negative,True,negative,,3692,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
78,I don't want to hear it.,negative,negative,True,negative,,3448,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
79,"Why do you keep calling me, please stop.",negative,negative,True,negative,,3128,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
80,"I'm really not interested, sorry.",negative,negative,True,negative,,4527,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
81,Can you send me more information by email?,neutral,neutral,True,neutral,,4559,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
82,What's the price for the standard package?,neutral,neutral,True,neutral,,4223,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
83,Who else have you worked with in our industry?,neutral,neutral,True,neutral,,3941,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
84,I'll need to check with my manager first.,neutral,neutral,True,neutral,,4105,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
85,Can you call back in two weeks?,neutral,neutral,True,neutral,,5231,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
86,What's the typical implementation timeline?,neutral,neutral,True,neutral,,3812,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
87,I need to think about it.,neutral,neutral,True,neutral,,4587,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
88,Can you clarify the contract terms?,neutral,neutral,True,neutral,,3350,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
89,What happens if we want to cancel?,neutral,neutral,True,neutral,,3771,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
90,Is there a free trial available?,negative,neutral,False,neutral,,4036,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
91,How do you compare to your competitors?,neutral,neutral,True,neutral,,5335,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
92,I'm gathering information from a few vendors.,neutral,neutral,True,neutral,,5221,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
93,Can you send me a case study?,neutral,neutral,True,neutral,,3787,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
94,What does the onboarding process look like?,neutral,neutral,True,neutral,,4823,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
95,I'll discuss with my team and circle back.,neutral,neutral,True,neutral,,4066,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
96,Do you have references I can speak with?,neutral,neutral,True,neutral,,4103,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
97,What are the payment terms?,neutral,neutral,True,neutral,,4104,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
98,Can we schedule a follow-up next month?,neutral,neutral,True,neutral,,3998,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
99,I'm just exploring options right now.,neutral,neutral,True,neutral,,4113,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
100,Please email me the details and I'll review.,neutral,neutral,True,neutral,,4293,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
